Profession	Text
Preschool teacher	"Help us!
What is a child in preschool? A number of hours or an individual with their own needs?
As the system is now, a children's group is seen in the number of volume hours. When the sum of a certain
time is not reached, more children are admitted to a children's group. The problem that occurs is that
the children's groups become very large.
We have 3 pedagogues working in a department where 18 toddlers will soon start, small individuals who
will get our teaching time and we don't even work full time all of us in the staff. We have children
that run 15 hours and even if they run no more than three days a week, five hours a day
so there is always the possibility that they get up in time for the parents to find work, get one
internship or enters a course and studies full-time. Suddenly we exceed the vulnerable
the volume hours and all the children's needs must be met and they must receive an educational
Operation. There will be competition for friends, competition to get time with the teacher and
competition for space. It was the number of children. Then we have their individual needs. When a child is placed on a
department, the placement coordinator does not know if it is a child in need of special care
rights (BSS). It may concern children with autism, ADHD, attachment, language problems
etc. Imagine that these children have to compete for friends, space and time with educators
15+ other children. It is in preschool age that it is discovered that children have special needs
rights, that's when an investigation can arise. But that doesn't happen until after they are about three years old and
in consultation with parents, which is also a challenge. It may take one to two years before that
parents agree to the child being investigated. Does a child not have a diagnosis when they are going to transition
to school, the chances of the child getting a resource and the support that the child needs are reduced.
Therefore, it is very important that the staff at the preschool have good contact with parents and
can explain the intentions. In the preschool, we meet parents who do not speak Swedish
mother tongue, which means that these calls may take longer and be needed more often. We have
observed that our BSS react more strongly when they are in large groups of children. Even if we
pedagogues work daily to reduce the sound volume and running indoors, so it is
children we work with, and of course there are times when it escalates, but it has an impact
our BSS. There is chaos in their minds and they find it difficult to face the situation. Educators
need to meet these children in their frame of mind and it takes attention from the others
the children. Imagine three educators of 15+ children, of which at least 1-2 children are BSS as it appears
the children's groups right now at younger children.
We have a special pedagogue who goes out and observes and supervises pedagogues in several
preschools. Our special education teacher is always fully booked and it can take months before we get one
time. Remember that once you get approval from parents to connect a special educator so
can the child already be 5 years old and there are only a couple of months left before he goes to school and
you do not know whether you will have time for an investigation so that the child will have the best possible chance in
school. At the preschool, we meet children with Swedish as a second language. This is what we work with on a daily basis
the language. We have had children who do not know a word of Swedish, actually landed in Sweden for two days
before he starts preschool. Imagine ending up with 15+ other kids and three adults and not being able to
make yourself understood. Imagine that you then have to compete with 15+ other children for time with a teacher,
space and friends. We educators must find different strategies to communicate with the children
and several times we have not been allowed to attend courses with alternative means of communication such as
for example, characters as support (THANK). We have to search the internet ourselves for material and try it out
the children's group take it to us. We can get materials from our special education teacher but still not that
we get to take a course. We want proper guidance to meet all our children with their own
unique individual needs.
In the preschool, bacteria and viruses thrive. The staff is constantly exposed to it and even if one
after a while we experience a strengthened immune system and we also get sick. Loyalty to our colleagues is
strong and we are happy to interrupt our sick period to come back. The reason may be that we
know that there is a shortage of substitutes, it is not guaranteed that we will get a substitute when we get sick. When one
If a substitute is employed, it is usually an untrained person who is to be employed in the operations and the planning
we set up the work team. When we normally come back to work too early, it usually does
lead to the disease taking longer to resolve. We get more short periods of illness and
more grace days. But we take it to come back and do our job, even though it's tiring
hole in the wallet and on health (both mentally and physically). But this is not how it should be
be. We educators should be allowed to let go of work when we are sick at home and think about what we are going to be
healthy. We should have the feeling that everything has been sorted out at work now that I'm home, me
can relax. But there is often a shortage of staff and substitutes, and the unions work hard to raise the price
the status of the professions in preschool to make it attractive to work there. But still missing
the competence. Working with children is incredibly rewarding work. But it can be more rewarding for the children
development if we look at the individual and not at volume hours. We educators have chosen our profession
because we want to give the children a preparation for social life, a meaning and a place, a development
and a belief in themselves. But in order for us to realize this as much as possible
we need to look to the person, not to numbers and systems. We understand that statistics and systems
is needed, but we also see that it does not meet the children's needs in preschool because it has become
way too humanized. We would like to recommend all politicians to take a full day (or half day)
and come out as an educator and follow a day at the preschool to see the individuals and those
wishes that are Sweden's future. Take the time to face the reality that you are making decisions about.
Humanize, see and feel the warm exchange that one gets in meeting young people.
We educators believe that there are many children who need special support where we educators
is not enough or has sufficient knowledge. According to the Kindergarten curriculum, we must ensure that
every child's needs are met and we feel inadequate with this as we are not enough.
We believe that there are several children who do not develop language sufficiently because of
lack of staff and lack of time. The guardians feel great concern as new staff often arrive
which also affects the children's safety. We often bring in substitutes who do not have the knowledge that
is required, which takes time away from the children's group as we educators have to guide substitutes into the activities.
We also have difficulty finding temporary workers. We often experience that guardians are not
familiar with the preschool's operations and rules. We educators need time to listen to the children
and see the children, which is part of our mission. What we want to improve in the preschool is for all of us guardians, educators and children. Here
We educators have a lot of responsibility, more responsibility than what is actually in our mission.
Partly the responsibility with parents, the communication, the lack of language, everything administrative. That everything
responsibility is placed on the pedagogues eats up the time that we SHOULD spend in the children's group. We want our
problems we face with parents with Swedish as a second language are taken into account and that
systems can be simplified and designed to meet their skills and language. We want one more
inclusive system for these parents.
Everything else that we do other than being in a children's group is:
Write a schedule for guardians as many have little knowledge in this area.
The guardians have difficulties using self-service and would like to ask for our help
which means more lack of time for the children's group.
Situations may arise when we have to make general calls to the guardians who are having a hard time
for the Swedish language. In the midst of all this, we must help other departments that also have
staff shortage. Of course, we want to help the guardians in the best way possible, but this comes at a cost
of the children's time.
As it may look in the preschool, educators are quitting and others have gone on maternity leave,
yet there is no one to replace these, then more children are pushed into the children's group and no one
realizes that staff is needed.
How do we solve this in the best way?
Sincerely, educators in the preschool"
Preschool teacher	"At our preschool there is a lack of staff almost every day and we are forced to do puzzles and borrow
staff so that no one has to work completely alone. We should preferably not bring in substitutes and when we get and
really need, there are none to be had. Plans fall as we have to solve
staff shortage. Outwardly, we must not show that we are having a hard time. People feel bad, are sick often
and are stressed, you feel inadequate and go home with a feeling that you didn't make it
do their job fully. At the same time, more and more demands are placed on us educators to our
The municipality is working to become ""Sweden's best pre-school"" A goal that, by the way, feels very good
far away as it stands now and with all the planning time lost it is impossible to fulfill.
Studied 3.5 years at university to get to work with what I really love, but as it looks now
is far from the profession I chose to train for.
Both myself and other colleagues have been home with fatigue symptoms but nothing major
changes have taken place to create better conditions to carry out our mission when we
come back.
Uneducated and uncommitted people are brought into the business to cover the staff shortage
and it creates extra work for us educators as even more is put on us. The educational
the planning (if it even exists) gets to be put aside and we get to just babysit for
to make the days go by. Anyone can replace our place and it shows well the status of
our profession as no competence is needed. Many groups of children become rowdy, as a result of
lack of staff and unqualified staff on site.
Despite all the hard work and the fact that we turn ourselves inside out and struggle to try to get quality
our work we are underpaid and are told that we are doing what we should in terms of wages even though we
is several thousand Swedish kroner below other municipalities in the country. It is time for a radical change
in preschool, otherwise many talented and fantastic educators will soon disappear
other professions and preschool fall to a level the politicians probably don't even want to imagine."
Preschool teacher	"Who takes care of the town's little ones when we're not at work? When we have to be home for
the body says it's enough? When we don't get the response we need to cope?
Who takes care of us when we can't take care of the little ones? Who supports us before it goes like this
far? Who has the right to come and insult and criticize us without us getting shit?
Well, an appointment with a psychologist, I will thank and accept.
How am I supposed to handle all this? Stand and be professional when I meet parents at my
Free time. Then I think my life begins. Where I can manage to be with my family, my children! The
I lost my energy and joy after half the day at work because the situation is too
pressed.
18 small, small children, not even 2 years old, but barely three full-time employees where my educational
work becomes pure babysitting, where my great passion for these little ones disappears because I just
must do the best I can, the best of the situation, get through the day! But the next day? And the next one
day? For all children's rights to development and learning, where I want to be there for them! Where
does it exist?
I'll hold out a little longer, I think!"
Preschool teacher	"When I started at my last workplace, I asked to avoid too much responsibility as I am
mother of small children, works 75% and studies 25%. It was me and 2 other fsk teachers and the rest
untrained temporary workers. The preschool teacher in my neighboring department quickly walked into the wall and is
still on sick leave which made me department manager for not only 1 but 2
departments. I was not assigned the responsibility but felt it because those kids were “loud and
low"" and only 2 temps there trying to get through the day. It won't last. The kids need
safe adults who want to provide educational care!
Some days when there are many sick people, I have literally had to clone myself and run forward and
back between 2 departments to get everything moving around and for everyone to get their break.
And there are children with special needs who are outgoing and very sensitive too
this preschool. I have now resigned because I don't want to go into the wall and start
soon at another preschool where I believe and hope that it is a little more stable. But the children are
left…"
Preschool teacher	"I am a newly graduated preschool teacher. I have worked in preschool for a year with no previous experience
in addition to my vfu. I want to show the front feet and I have tried to do that during this year which
passed, which has meant that I have taken on major areas of responsibility in the preschool. In part, I have
started the Läslyftet, which I think is fantastic fun! But I am not given the opportunity to do this.
I have to take from my own PUT time for preparation which becomes difficult when I hardly get out
some PUT time, it has ended with me sitting at home and stressing about catching up when I
know i shouldn't. But at the same time, I don't want to get on the manager's bad side."
Preschool teacher	"As a fairly recently appointed preschool teacher, I feel fundamentally deceived about my education and have doubts
sometimes on my choice of profession. I love children and being able to help shape our society
future for the better sounded like a dream job to my ears. Now that I'm out in the business
I don't know what to believe or feel.
During the training, we got to take part in so much good research, the Norwegian School Board's guidelines,
the Convention on the Rights of the Child, a lot of rewarding workshops and lectures and more, and more. The
made me get attached to the profession and really yearn to get out into professional life and
put their lessons and thoughts into action. Now that I'm here, I mostly feel myself
inadequate and sad.
Insufficient because in my head I really can't figure out how to manage to see and
treat each individual as I must according to our obligations and guidelines. How
will I have time to implement what I learned during my 3 years? That stress now already has
showed up in me with panic attacks, constant nausea and way too many
occasions of illness due to reduced immune system.
I am sorry, among other things, because I feel that I borrowed over SEK 300,000 unnecessarily to
become something that didn't turn out to be the dream I thought at all. All this because of being too big
children's groups, shortage of substitutes and more.
We currently have 18 children aged 1 to 3 years in not even three full-time jobs! We are maybe 3 staff
2 hours a day including meetings and other administrative work and more.
I wonder where the children's rights are in this business when it looks like it does?
The situation is really not sustainable or even humane!
If nothing happens soon, I will definitely change my profession, because it feels like nothing but hell to procrastinate
children for this. These little ones have no say, but must only adapt to the chaos.
It's sick...to say the least!"
Preschool teacher	"Has, after 40 years in preschool, been on sick leave for exhaustion depression. The thing that worries
to me most is how my colleagues who have not yet worked for so long will be able to continue as
preschool teacher. I agree with all these stories in terms of concern for the children, a big one
frustration because you can rarely carry out what is planned, always trying to keep up appearances
up so that the parents feel safe when they leave their children, etc. Right now I want to
just retire. In this work, it is important that private life goes on as if on rails, you don't have any
margins should something happen."
Preschool teacher	"We were short on staff and with a child at school who is having a really hard time
feel safe with us. Basically, 1 staff member is completely spent on that child. No substitutes are available
available if you do not book an appointment well in advance (and even then it is not guaranteed that you will get one
locum tenens). So with a staff member sick, a staff member who had to devote 100% of their attention to
a hysterically crying small child, the last educator was left alone with 11 other children
which would receive an educational activity based on the goals of the activity and the curriculum, which
would feel seen, have diapers changed, get fruit, put on clothes to go out, help with
undressing, food that would be fetched and laid out, etc. When then an educator goes home (after
having to work overtime as well) so I was left alone with 8 children aged 1-3 years who
again diapers would be changed, snacks would be arranged, it would be picked up after rest
and that you should start making a nice ending and meet the guardians who come for
to retrieve the most important things in their lives."
Preschool teacher	"After about 5 years in the profession, my energy is starting to cool down. I have always loved my job and when I had to
choosing the university course, there were no doubts at all. I wanted to be a preschool teacher. The first 3 years were tough
on good I had energy, good Ideas and felt that I had plenty of time for planning, reflection
and above all time for the children.
Yesterday I felt that the last drop in the cup made it overflow. I texted my husband and said
that now I can't take it anymore. Now I want to change my profession. Which actually makes me so sad, because I
I love my job.
But when the children's groups grow and grow. The staff density is getting smaller and smaller. I can
not stand for my professional performance and guarantee the children's safety when we most of the day
(except between 9-13) there are only 2 preschool teachers for 16 children (1-2.5 years). The vast majority of children are
present from 7.30-16.30.
We have children in the group who require an adult present for the day to work. And unfortunately
then we cannot give her or the rest of the children what they need to a sufficiently large extent.
Every day parents call in and report their children sick, we breathe a sigh of relief. Because that means one less
children's group and a more manageable day.
I feel sad, angry and lost. I am a preschool teacher. What else would I do?"
Preschool teacher	"The state subsidy for the preschool
“A short-term investment”
Last year, the city of Borås was able to report reduced groups of children in preschool
that temporary fictitious departments could be opened through the state subsidy. In many places put
dividing walls were put up in existing departments, in others the group was divided among certain ones
activities in the week. A functional use of the extra resources meant that
the business could achieve a higher quality. Extra staff could support at critical moments
as at exit. The pedagogues were given greater opportunity to plan the teaching and were able to
get breaks and breaks more often.
The allocation of the state grant is now ready for the next academic year. Borås gets a significantly smaller share.
This means in most cases that preschools that are left without will close the temporary ones
the departments. Closed departments had normally been met with great resistance. But instead
it is completely silent. It shows that these departments were not worth as much. The departments were
just a short-term investment to reassure employees and users.
When the fall semester begins, we are back at square one. The size of the children's groups will land at approx
the same figures as in the last 10-12 years. Staff density is slowly going down.
The sick leave due to burnout increases. One or two years of artificial respiration will not do
help.
The investment in the preschool must be long-term. Increase staff density permanently. Give
the pedagogues have the opportunity to divide the children into smaller groups during the day. Make sure to pause
and breaks can be taken out. Continue the investment in the salaries within the preschool, so that more people want to start
work here and more people want to stay."
Preschool teacher	"Efter ca 5 år i yrket börjar min ork att svalna. Jag har alltid älskat mitt jobb och när jag skulle
välja högskolelinje fanns det inga tvivel alls. Jag ville bli förskollärare. Första 3 åren tuffade
på bra. Jag hade energi, bra Idéer och kände att jag hade gott om tid för planering, reflektion
och framförallt tid för barnen.
Igår kände jag att sista droppen i bägaren fick den att rinna över. Jag smsade min man och sa
att nu orkar jag inte mer. Nu vill jag byta yrke. Vilket egentligen gör mig så ledsen, för att jag
älskar ju mitt jobb.
Men när barngrupperna växer och växer. Personaltätheten blir mindre och mindre. Jag kan
inte stå för min yrkesprestation och garantera barnens säkerhet när vi största delen av dagen
(förutom mellan 9-13) enbart är 2 förskollärare på 16 barn (1-2,5år). De allra flesta barn är
närvarande från 7.30-16.30.
Vi har barn i guppen som kräver en närvarande vuxen för att dagen ska fungera. Och tyvärr
så kan vi inte ge hen eller resten av barnen de dem behöver i tillräckligt stor utsträckning.
Varje dag föräldrar ringer in och sjukanmäler sina barn andas vi ut. För det betyder en mindre
barngrupp och en mer hanterbar dag.
Jag känner mig ledsen, arg och vilsen. Jag är ju en förskollärare. Vad skulle jag annars göra?"
Preschool teacher-student	"As I'm only a pre-school student, I don't have the whole picture and only see how it looks when I
is in place. However, I have seen some when I was out. There is talk of the big one
sickness absence in preschool, where educators are too ill to show up but where it is missing
temps to cover up. It's very true, but I haven't seen many people talk about it
large sickness absence. I have often met preschool staff who work even if they are sick because
they know that it can be impossible to bring in substitutes sometimes.
I have often seen staff working overtime almost every week to cover up for their colleagues
sickness absence. At the same time, the staff do not have time to carry out the steps they are supposed to undertake
day and sometimes breaks are not taken. There are a lot of staff who work themselves to pieces
themselves in order to give the children the best possible conditions while at the same time putting them under more pressure and
more from a higher place."
Preschool teacher	"Två vikarier och en ordinarie personal hade tre storbarnsavdelningar ute mellan kl. 15-17.
Det var runt 60 barn. Önskar att det hade varit en isolerad händelse men det var/är det inte."
Preschool teacher	"Feeling inadequate makes you feel like a failure. Reduce the children's groups.
Individual planning time in the schedule, etc."
Preschool teacher	"Large groups of children, a number of different languages, socially vulnerable areas, children in need of support, difficult
to have good cooperation with guardians, children who are unwell, high staff turnover i
all suffered. In addition, there are many untrained educators, few pre-school teachers and high levels of sickness absence
at the workplace. It is a complex situation that is unsustainable for an equivalent preschool..."
Preschool teacher	"My story doesn't have to be so long. The crisis unfolds daily. Large groups of children, sick
pedagogues, loud noise, stressed children and adults, lack of substitutes, hardly any
planning time. I myself have been on sick leave 2 times due to exhaustion and anxiety since I became pregnant
fully trained VT-15. The children get hurt and we who work get hurt. No more silence!
During the autumn that has been, the municipality has called us to a meeting to tell us that we as
working in the preschool costs the municipality 5 million a year in sick leave. Are we sick more than
four times in a year we are called to a meeting and possible investigation. The municipal management
seems to have difficulty connecting that large groups of children, among the largest groups in the county, means
extra workload - which of course contributes to ill health among the staff. We have also received
knowing that the municipality will save 48 million on preschool/school, you wonder what you can do
cut back on in a pressured situation? The top manager of the preschool has stated that a
preschool teachers should be able to have as many as nine children per preschool teacher, i.e. theoretically
there could be 27 children in a children's group. During the time that I have worked in the municipality, we have
have not received any further training. The municipality seems to mostly blame staff and push for more
children in already overburdened groups. We preschool teachers don't even have a pedagogical agreement
development time, it will be difficult to carry out the assignment then.
Everyday life is that you often have to go one staff short, even though all the children are in place."
Preschool teacher	"I am in a situation where I wonder if I have chosen the right profession. I have burned to be in a business
where the children's curiosity and desire to learn. I have felt proud to be a preschool teacher.
But now I just feel bitter! Since long-term sick leave is all too common today there are
no choice but to work with temporary workers. What happens is that everything ends up on me when I don't
can require a substitute to do everything that a regular educator does.
Then all these chores that are NOT part of my mission: Picking up/cleaning up needles outside
the entrance several times a week as the municipality does not take it seriously. Shovel and sand then no one
another does it. Call the parking company to try to get rid of a car that has been dumped on
the car park which occupies 3 spaces since 4 weeks ago.
I'm going into the wall! Don't know how much longer I can last?! I have always been convinced
that preschool lays the foundation for all children's development and learning, but as it appears
today it is far from that. Mostly babysitting and trying to make sure the kids don't end up in
conflicts with each other. The politicians should be with the business for a week to see how
reality looks like, because they will never be able to understand it otherwise. And I am convinced
that every single one would be shocked by what it's like to be in that noise level, no matter how much you don't
catch up and what big groups of children there are!!!"
Preschool teacher	"I have worked as a preschool teacher for 30 years and have seen the preschool develop over time. Has
many times thought that now I have to get to grips with our work environment within the preschool, but as for
Most of us don't have the energy, but we trot along as usual. Clearly, our work environment
untenable. The children in the large children's groups feel unwell and are insecure. Know one
frustration at how the children and us educators feel, are treated and not listened to. To perform
his mission with 15 small children aged 1-2 years is completely unreasonable. The stress is total, you can't get enough
to. The little ones are sad and scream and we do everything to keep them calm and safe. While we get
directive that you have to log the children, fix local environments, challenge the children, work in small groups, be
teacher present, wipe tables, sweep floors, pick goods, clean, wash, fix substitutes,
evening meetings, the list can be made as long as desired. Read a lot of good children's literature
learning and approach and about how we meet the individual child's needs. Really
great read but it doesn't work in groups of 15 toddlers. Has been on sick leave at
several occasions due to stress and soon sees no choice but to quit. Is it a worthy one
working life when you are constantly so tired and worn out that the only thing you think about is going home and
sleep?"
Preschool teacher	"It is Tuesday morning at 6.30 and I open at the preschool. My colleague who should have opened with
I haven't seen it yet, I hope she's just late. I hardly have time to think the thought before
the phone is ringing. My colleague will stay home with a sick child today. Out in the hall the first ones start
the families show up. Simultaneous capacity at the highest level now applicable. Receive the child from a
another ward who is new and screams when dad leaves, he just asked me to say hello to something else
the child's staff so I write it up. At the same time, another small one appears who is
very sad. The time is now 06:37. I text the substitute coordinator that I'm alone. Get answer 10
my later and a question about how many children I have. 2 small sad in arms and 2 small like
are on their way in and 3 slightly older ones who are playing by themselves, but I don't have time to write that, so I write
""only"" 7.5 minutes later, I get a reply that the person who was supposed to start at 7.30 will arrive as soon as possible.
Time passes and I am up to 14 children, alone. At 07.13 the colleague appears. Finally
can i breathe out…"
Preschool teacher	"We don't have time to meet all the children where we want. Small meetings with the children do not take place, the stress
has taken over. The focus of my days is often about how to get the day together. A business
is often ""cancelled"" due to staff shortages. To come home after an intense working day and feel
that I haven't done a good job, feeling inadequate. It's a feeling that more will come
and more often. The stress also causes attrition in the staff group."
Preschool teacher	"Have worked as a preschool teacher for 30 years and am starting to feel that I can no longer stand for it
here. The daily stress and feeling of inadequacy is enormous. Now that's enough! The
cannot live up to all the governing documents anymore in the working environment that prevails, we are no supe
people. In the last week, however, I have experienced something fantastic. Many children have
been absent and we have only had 5 children and 3 full-time educators.
My reflection of the week has really shown how it could be in the best of worlds.
We have had time to see and confirm all the children and their needs. Knew one like that
satisfaction of being the educator I desire. The children have blossomed and dared to take their place
in the small context. We have seen children who have grown and who previously did not come forward and
got to see what we hadn't been able to see before. It's so amazing It has to be a powerful and real
change NOW!!!!
For me, it's not about a higher salary as it doesn't mean that we would be able to cope more, but it does
about our WORKING ENVIRONMENT, which is not long-term sustainable for the future."
Preschool teacher	"After thinking for a while about whether I should write or not (I know that I actually have it
""good"" compared to many other colleagues in other municipalities) I have now decided to
share with me my spring semester 2017. The semester when I was close to breaking down and giving up
this profession. I work in a small children's department and in the spring of 2017 we had children 1-2 years old. February June
I myself was involved in pulling around the department as both my colleagues were on sick leave. Major
part were both at home full time and part of the time one worked 3h/day and the other 4h/
day. But even on the days they were there, all the children went to me/after me because mine
colleagues were at home a lot and only worked sporadically, I was their only security.
During this period I had 4 inductions, development talks with all the children and
prepared for our Preschool Day celebration (the entire preschool performs for the parents and
then we have an open house). My time (and my heart) was split between having the new babies
safe while the ""old"" children fought for my attention and proximity
they needed. I have never felt so inadequate! Then comes this substitute... Each
week I had to sit and write a schedule for the coming week, what times was a substitute needed?
Was it not enough with a substitute? So substitutes were booked from week to week, which resulted in
different substitutes all the time. After a while I put my foot down, at least I have to get a substitute who
always is here. So it happened because I talked to the substitute so she didn't book anything else before
the preschool director gave her the next week's schedule. Then we burned her out and were back
back to square one again...
I was so tired both physically and mentally that I couldn't do anything in my spare time and I
don't know how many times I cried myself to sleep. Because of all the stress, I went on
infection after infection, but I couldn't be at home, so I just had to bite the bullet.
Before autumn 2017, one colleague was replaced (she moved to the sibling department instead)
and we had to keep our children's group intact so now we are a 1-3 year department. Am so grateful to receive
spend another year with these children as we got so close when it was just ""us""."
Preschool teacher	"I started studying at university when I was 31 years old. Was so sure it was me in preschool
wanted to work. I took my preschool teacher's degree in January 2016 and was very excited to finally
start working after 3.5 years of studies for my dream profession. Once I started working I got one
shock! It was so stressful and catching up with all the children was completely impossible. Children who were well
too bad we didn't get any more resources. It felt like I was trying to put out fires all the time! And
when I turned one off there were a thousand again. Working with the curriculum goals felt like an impossibility
task. Every day was mostly about trying to survive and making sure no child got hurt
one. That was how everyday life felt. After 1.5 years as a preschool teacher, my body collapsed. I
got burned out. It wasn't just me who took a beating from this profession. My whole family was fine
bad because I was so stressed. I have now been on sick leave for almost two months and am
still very bad. Lying in bed has become my everyday life. I feel cheated and
disappointed by the profession. Terrified to return to the impossible everyday life in preschool. Something
must be made! Preschool is about children's lifelong learning. It will hit hard
society when these little stressed children grow up. It's so horrible."
Preschool teacher	"I don't really know where to start. I myself have crashed twice. Been on sick leave.
When you then become ""healthy"", you are back in the same stress again. You should also be on that
mother and wife. How to cope with everything? How to cope with everything? It is the physical and
psychological stress. To not be enough. Somewhere. Many children, few educators. To be able to change
diaper without another child getting hurt in the meantime. Making sure everyone has food and drink underneath
lunch and if you're lucky, you'll have time to start eating before everyone is ready and has to set the table. Since
do we have the curriculum. The one that we in preschool have to work according to. For me it is the worst stress,
the psychic. Over not being able to have the educational activities that we should have and
as you want! There is no time, no money, no resources. The joy of work is over.
The brain is gone. There is nothing more than making sure the children have the best possible time.
I feel dejected and frustrated."
Preschool teacher	"This is what a week looks like for me:
8-9.15 (2 pcs)
9.15-9.30 (3 pcs)
9.30-11.15 (2 pcs Mon & Fri, 3 pcs Tues-Thurs)
11.15-12.30 (2 pcs)
12.30-2pm (3 pcs)
14-15 (2 pcs)
15 --> 2 pcs
We have 20 children in the group, 8 of whom are two or younger and in diapers. Remaining children are
between 3-4 (5) with different needs. We can start with these 8 children who are two or younger. Two
some of them have teeth that come out, which makes the days a little difficult. One can't go yet. All
8 must be changed AT LEAST twice per day. They have to wear outerwear in order to have time to be outside alone
moment before it's time to sleep in the pram, which means off with clothes and on with sleeping clothes.
They must have fruit before we put them in the cart. Some without teeth that have to be fed
small pieces. Then they will fall asleep, rocked. And then they have to wake up and undress again. Clothes
must be put away, blankets must be put away and the carts must be set up. It must be set. Time for food and two
of the smallest have a lot of allergies, which makes it very careful around these children. Before all the little ones
have been fed, the bigger ones are very hungry and before I also helped them, the first ones have eaten
and want more. Then everyone has to clear the table, the little ones need help to scrape the plate and wash up
of. Time for a diaper change again.
Then we have the 12 remaining children. That screams for our attention. But we'll make it
not included. There is no room to sit down and play games, tinker, puzzle, tie a knot,
ironing a pearl plate etc. And the educational activities? I CANNOT do my job
which makes me angry, sad and frustrated. When I get in the car on the way home, I can't
hold back the tears. I'm so tired! And now it's time to pick up my 6 year old son and be one
happy and committed mother to him."
Preschool teacher	"Hello!
I have worked with children since 1979. Became a preschool teacher in 1992. The development has slowly moved towards
larger groups of children. In recent years, the shortage of preschool teachers has increased significantly. Educators quit
and you can't get hold of new graduates, skills have dropped and that affects the children. My
everyday life is stressful, and full of events so you don't get a breather. You feel yourself
insufficient and it is a struggle to get to their child-free time for planning the educational
the business. In order to help each other, we must further merge children's groups, which means
conflicts, stress and feelings of further inadequacy. We receive new assignments from above such as
must be made and put on. Also other practical tasks that are not included in ours
job description. At night you don't sleep well and your head is spinning with thoughts. I
I won't be able to work until it's time for my pension, I'm afraid of getting sick. Feels
already signs of exhaustion syndrome. Do something now!
Think about our children and our future! Act! Make sure people want to work in preschool again and
building our future together with our competent child."
Preschool teacher	"I worked 30 years in preschool. 16 years as a preschool teacher, previously as a nanny. I felt
that I was in the right place and thought I would stay until 65. But the last 6 years were terrible
many ways. I tried to change my work situation and that of others, sat in the teachers' union
board, was a negotiator and sat in collaboration groups. I am a driven and
solution-focused person. My approach is always the child's needs at the center. Last years
authorized colleagues were reduced from having been 11 in 4 departments to 2. We had to merge
wards so I was the only one authorized for 42 children 3-5 years. To maintain approach and
following the curriculum became difficult when unauthorized people questioned and were the majority. Children were violated daily
and I couldn't mentor everyone around me. Constantly stressed and never felt satisfied
our work. The quality dropped and the worst thing was that I then had a manager who wanted to be the best
myself and did not see my work. What kept me up were children and parents. I finally chose
to send a question to the social sector in case my skills were useful there. And got
immediately a position as a family therapist. Never regretted this. Here I get to grow and
develop and my skills are put to good use. I can manage to have some free time and am more energetic than ever."
Preschool teacher	"Yes, where do you really start? I have worked as a preschool teacher for 12 years and love what I do
profession. The joy you get from the children gives so much back. Unfortunately, the conditions will be
worse and worse for us to see each child. At my preschool, we are no longer allowed to bring in substitutes when
someone is gone, because it creates anxiety among the children according to my boss. Of course I can agree
her to some extent, but the problem is that those who are not at home have to work overtime,
the business suffers as we constantly have to juggle existing staff and us
will never progress in our work with the children. At times we have had to work ourselves with 19
children. We have questioned this to our manager and pointed out that things can happen when we are alone,
her comment is: then let it happen.
If we point out that we feel stressed or that we feel inadequate, the manager says that we
must work on ourselves, we must lower the demands on ourselves.
How long will you be able to work without support and understanding?"
Preschool teacher	"I have now resigned to go to school and preschool class. How can I now be enticed to get
18 children myself compared to today at the preschool where, according to the paper, we should be 3.6 staff out of 28
five year olds? Yes, because in the preschool we have no individual planning. What we get is one hour
department planning every three weeks. Our monthly workplace meetings include lectures on
how the municipality wants our preschool to work, but we are not given the conditions for that. IN
the reality is we are not at all 3.6 staff for breaks, openings/closings, snacks and dishes
is not counted. Then add the fact that throughout my 12 years in the profession I worked with
at least one colleague who is on sick leave, VAB, job training, etc. at least 50% of the time. Add that
we have to save on substitutes and in most cases we don't get any at all! Inhuman both for
us who work and also inhumane for the children! So now I give the profession one last chance by
transfer to school really hope for better conditions there. We actually have
the world's most important and most enjoyable job, but with these conditions it becomes unsustainable
for everyone involved."
Preschool teacher	"We skip temporary jobs again because we know we don't have money. There is a total buying freeze and we
need staples for the staple gun to get material on the wall, but there aren't any.
Today I work 50% right now, as I am on maternity leave with a little 6 month old. Working
over today because someone needs to close. The children notice that several of the staff are gone and
it becomes immediately unsettling. We have some children who need extra support, which we try to catch up with.
Can we make it there before the next eruption occurs? We know we need to reduce our children's group,
as several of them cannot handle the noise level and the room is not big enough, but we educators go
constantly at full throttle to cope in case a child breaks down. Last week I came home with
bite marks after an outbreak. We constantly try to create smaller contexts for the children and
have calm and educational meetings, but sometimes the opportunity is not available when educators are ill. The children
in our group are fantastic but they cannot cope with the large groups of children and the noise level. How will
can we meet these children based on their needs without money for materials and resources?"
